Athlete,Rating,Number Of Races,Most Recent Race Date,Nationality,DOB
Simon MAGAKWE,1492.5302790697724,6,2014,RSA,14-May-86
Aska CAMBRIDGE,1492.3951101231996,2,2016,JPN,31-May-93
Alex WILSON,1492.240073006209,1,2016,SUI,19-Sep-90
Jonathan QUARCOO,1492.1876793169836,1,2016,NOR,13-Oct-96
Zhenye XIE,1491.3984406426046,3,2016,CHN,17-Aug-93
Diondre BATSON,1491.1722630527029,3,2015,USA,13-Jul-92
Ogho-Oghene EGWERO,1490.6854567513094,4,2016,NGR,26-Nov-88
Sean MCLEAN,1490.5837373699533,2,2016,USA,23-Mar-92
Ratu Banuve TABAKAUCORO,1490.24476372457,2,2015,FIJ,4-Sep-92
Emmanuel BIRON,1490.156620998905,2,2015,FRA,29-Jul-88
Cejhae GREENE,1490.113784838894,2,2016,ANT,6-Oct-95
Mahamat Goubaye YOUSSOUF,1490.0500968423544,1,2015,CHA,27-Jun-98
Jahvid BEST,1489.88396400624,1,2016,LCA,30-Jan-89
Youxue MO,1489.8380463957967,1,2016,CHN,10-Feb-96
Boby YASPI,1489.8100745162246,1,2015,INA,28-Oct-87
Mark ANDERSON,1489.3996704431206,1,2015,BIZ,16-Nov-91
Everton CLARKE,1488.2267464614447,1,2016,JAM,24-Dec-92
Richard KILTY,1488.1610503191537,9,2016,GBR,2-Sep-89
Henrico BRUINTJIES,1487.948061146074,3,2016,RSA,16-Jul-93
Harry ADAMS,1487.8987769490677,2,2015,USA,27-Nov-89
Holder Ocante DA SILVA,1487.7710820544567,3,2015,GBS,22-Jan-88
Vitor Hugo DOS SANTOS,1487.5607924220462,1,2016,BRA,1-Feb-96
Jamial ROLLE,1486.5701751750876,1,2016,BAH,16-Apr-80
James ELLINGTON,1486.5675371774262,6,2016,GBR,6-Sep-85
Adrian GRIFFITH,1486.1196962181284,1,2016,BAH,11-Nov-84
Richard THOMPSON,1485.8339239449087,37,2016,TTO,7-Jun-85
Hassan TAFTIAN,1485.4341015693672,5,2016,IRI,4-May-93
Aziz OUHADI,1485.3578424108541,5,2016,MAR,24-Jul-84
Kukyoung KIM,1485.254251334617,2,2016,KOR,19-Apr-91
Akeem HAYNES,1485.1405107363594,2,2016,CAN,3-Nov-92
Ojie EDOBURUN,1485.130700114541,3,2016,GBR,2-Jun-96
O'dain ROSE,1485.1014718604565,2,2016,SWE,19-Jul-92
Jurgen THEMEN,1484.8358197539533,3,2016,SUR,26-Oct-85
Gabriel MVUMVURE,1484.6622678535573,5,2016,ZIM,23-Feb-88
Reza GHASEMI,1484.6276432848467,4,2016,IRI,24-Jul-87
Julian REUS,1484.5048805772635,4,2016,GER,29-Apr-88
Peimeng ZHANG,1483.7809740780199,7,2016,CHN,13-Mar-87
Jin Wei Timothee YAP,1481.8388827242284,1,2016,SGP,5-Jan-94
Brijesh LAWRENCE,1481.8310069942852,2,2016,SKN,27-Dec-89
Sudirman HADI,1481.4099561018477,1,2016,INA,9-Mar-96
Mohammed ABUKHOUSA,1481.3685362890396,1,2016,PLE,30-Dec-92
Harry AIKINES-ARYEETEY,1480.3129254331898,15,2016,GBR,29-Aug-88
Darrell WESH,1479.93795398042,1,2016,HAI,21-Feb-92
Wilfried KOFFI HUA,1479.1150040210282,5,2016,CIV,12-Oct-87
Antoine ADAMS,1478.9449155629422,6,2016,SKN,31-Aug-88
Rodman TELTULL,1478.1112084330198,2,2016,PLW,29-Jan-94
Kemar HYMAN,1475.8675810687773,7,2016,CAY,11-Oct-89
Hassan SAAID,1474.6079360654285,2,2016,MDV,4-Mar-92
Riste PANDEV,1472.8918894640808,2,2016,MKD,25-Jan-94
Solomon BOCKARIE,1472.7898731344048,3,2016,NED,18-May-87
Fakhri BIN ISMAIL,1472.4380476195854,2,2016,BRU,6-Mar-91
